Documento,Representacion vectorial,Caracteristicas extraidas,Elemento de comparacion,Similaridad
"segundo fin semana largo año , ser 15 18 marzo , dejar derrama económico consumo servicio turístico 48 mil 381 millón pesos , prever Secretaría Turismo ( Sectur ) .",frecuencia,unigrama,contenido,0.03627381250550058
"Organización Países Exportadores Petróleo aliado ( OPEP+ ) anunciar ampliar recorte voluntario producción crudo segundo trimestre año , suponer más apoyo mercado preocupado perspectiva crecimiento económico mundial .",frecuencia,unigrama,contenido,0.0
"Diablos Rojos femenil empatar último serie temporada regular Liga Mexicana Softbol , vencer segundo duelo Sultanes Monterrey 9-5 visita Sultana Norte . escarlata enfrentar Charros Jalisco semifinal comenzar Ciudad México Parque Universitario Beisbol UNAM mañana .",frecuencia,unigrama,contenido,0.0
"Monterrey Pumas jugar partido anestesia , no haber enterar estadio BBVA mil aficionado pagar boleto celebrar grande . primero 45 minuto pasar largo . único momento cambiar noche , mexicano-estadunidense Brandon Vázquez , español Sergio Canales Gerardo Arteaga dar triunfo regiomontano 3-0 cierre fecha 10 Liga Mx .",frecuencia,unigrama,contenido,0.0
"México seguir momento algarabir Copa Oro W deber enfrentar complejidad . Jaqueline Ovalle haber convertir pilar plantel ahora marcar doblete , tricolor femenil asegurar pase semifinal torneo enfrentar Brasil después sortear complicado encuentro vencer 3-2 Paraguay .",frecuencia,unigrama,contenido,0.0
"legado Paola Longoria raquetbol seguir extender él . Abierto Boston , potosina lograr título más largo palmarés superar centena trofeo .",frecuencia,unigrama,contenido,0.0
"Celtics Boston machacar 140-88 Guerreros Golden State tercero victoria más abultado casi 80 año historia NBA . pese ausencia estelar Kristaps Porzingis , equipo trébol afianzar liderato Conferencia Este 11 triunfo consecutivo . escolta Jaylen Brown anotar 25 29 punto frenética primero mitad , local adelantar asombroso marcador 82-38 , mayor diferencia descanso historia franquicia , vez , peor déficit Guerreros . Jayson Tatum contribuir 27 unidad Stephen Curry , símbolo Golden State , quedar sólo cuatro .",frecuencia,unigrama,contenido,0.0
"ser cualidad haber mostrar clavadista mexicano Copa Mundo realizar Montreal , Canadá . rasgo levantar expectativa rumbo participación Juegos Olímpicos jornada delegación tricolor agregar dos medalla más conteo .",frecuencia,unigrama,contenido,0.0
Boston . múltiple análisis avanzado haber deporte estar medir él rival superar : inteligencia artificial ( IA ) .,frecuencia,unigrama,contenido,0.0
"Acapulco , Gro . , Alex Miñaur llegar Acapulco , arrastrar cuatro final perdido manera consecutivo ; peor racha circuito ATP convertir profesional .",frecuencia,unigrama,contenido,0.0
"Haya . , Feyenoord perder oportunidad recortar distancia PSV , líder liga neerlandés , ayer empatar 2-2 , duelo mexicano Santiago Giménez anotar equipo Rotterdam , compatriota Hirving Chucky Lozano cumplir 100 partido conjunto Eindhoven .",frecuencia,unigrama,contenido,0.0
"Madrid . Mallorca , dirigido mexicano Javier Vasco Aguirre , vencer 1-0 Girona ayer jornada 27 Liga España acercar él permanencia semana perfecto lograr pase final Copa Rey .",frecuencia,unigrama,contenido,0.0
"vísperas Día Mujer     horas aprobar Senado Ley Equidad Salarial , Tri femenil estar demostrar participación Copa Oro W medida ser necesario ser apenas principio justicia deber triunfar encima mezquindad Federación Mexicana Futbol ( FMF ) , directivo haber retrasar salida luz noviembre argumento insostenible ... restar paso publicación norma dar , comienzo carrera profesional , soler parejo hombre mujer .",frecuencia,unigrama,contenido,0.0
"México tener dos tres año , más , incursionar éxito industria espacial ser potencia escala planetario , advertir Katya Echazarreta ( Guadalajara,1995 ) , junio 2022 convertir primero mexicana viajar espacio exterior , parte misión Blue Origin NS-21 .",frecuencia,unigrama,contenido,0.02445579940222592
"haber fuego interior     dificultar acabar hacer imposible vida artista haber iluminar antorcha mundo necesitar . ocurrir Thelonious Monk , padre be bop jazzista más original virtuoso historia , ya ser decir . haber ángel , incluir fragilidad propenso grave riesgo . nacido 1917 , poco después padre mudar Manhattan , departamento Thelonious vivir vida adulto . amigo Charlie Parker , traer integrado demonio , diferencia Bird , no tener problema serio adicción ; , literalmente , ser mental . mal diagnosticado siquiatra , ser tratar loco depresivo . familia salvar electrochoqu , no antisicótico dejar inútil último año vida .",frecuencia,unigrama,contenido,0.0
escritora académico Margo Glantz poseer apertura tema lejano apariencia diálogo nuevo generación autora haber desarrollar obra literario apasionado diferente . ser característica actividad creativo personalidad también académico celebrar mediodía domingo homenaje recibir Palacio Bellas Artes .,frecuencia,unigrama,contenido,0.0
"coreógrafa , bailarina maestra Gladiola Orozco , próximo 9 octubre cumplir 90 año , asegurar “ pasión poder lograr vida ” . labor favor danza contemporáneo cultura país haber ser esencial .",frecuencia,unigrama,contenido,0.0
"después 23 año carrera , primero bailarina Compañía Nacional Danza ( CND ) , Blanca Ríos , despedir escenario 10 marzo Palacio Bellas Artes Ballet Esmeralda , inspirado novela señora París , Victor Hugo .",frecuencia,unigrama,contenido,0.0
"Centro Producción Danza Contemporánea ( Ceprodac ) , dirigir Cecilia Lugo , realizar homenaje bailarina , coreógrafa fundadora desaparecido Ballet Teatro Espacio , Gladiola Orozco , 16 marzo sala principal Palacio Bellas Artes .",frecuencia,unigrama,contenido,0.0
"mujer mundo acceder solo 64% protección legal amparar hombre , informar Banco Mundial .",frecuencia,unigrama,contenido,0.0
"acuerdo analista , incremento ser más estimado Indicador Oportuno Consumo Privado .",frecuencia,unigrama,contenido,0.0
"noviembre , combustible no haber gozar estímulo fiscal , diferencia Magna diésel .",frecuencia,unigrama,contenido,0.0
"medida , nación productor pretender elevar precio materia primo .",frecuencia,unigrama,contenido,0.0
"directora general organismo , Ngozi Okonjo-Iweala , destacar reunión tener lugar "" trasfondo internacional marcado mayor incertidumbre tiempo recordar "" .",frecuencia,unigrama,contenido,0.0
contrato colectivo trabajo ser someter votación trabajador .,frecuencia,unigrama,contenido,0.04588314677411235
usuario reportar problema momento querer realizar transferencia .,frecuencia,unigrama,contenido,0.0
reporte Hacienda observar crecimiento 28.6% gasto programable .,frecuencia,unigrama,contenido,0.0
"cuota impuesto IEPS ser 6.08 pesos litro ; diésel , monto mayor semana terminar viernes , 5.79 pesos litro .",frecuencia,unigrama,contenido,0.0
"2024 , analista consultado Banco México ( Banxico ) esperar inflación cerrar año tasa 4.10% , 4.17% previo .",frecuencia,unigrama,contenido,0.0
banco informar usuario sistema presentar falla especificar sólo ser app también   sucursal .,frecuencia,unigrama,contenido,0.0
"primero mes año , remesa llegar México caer 16.8% comparación mes previo .",frecuencia,unigrama,contenido,0.0
"principal casa bolsa México pretender aprovechar tendencia , tiempo atraer pequeño inversionista .",frecuencia,unigrama,contenido,0.0
62% anuncio inversión corresponder industria sector manufacturero .,frecuencia,unigrama,contenido,0.06362847629757777
"caso no llegar acuerdo administración sindicato Monte Piedad semana , trabajador decidir continuar levantar huelga .",frecuencia,unigrama,contenido,0.0
IMCO apuntar país participación mujer economía tener retraso importante respecto promedio OCDE .,frecuencia,unigrama,contenido,0.0
"enero 2021 diciembre pasado , 63.360 persona haber lograr pensionar él gracias reducción semana cotizado .",frecuencia,unigrama,contenido,0.0
"ahora , importante ser gastar invertir grande fortuna heredar país Estados Unidos . cambio generacional riqueza redefinier rumbo negocio .",frecuencia,unigrama,contenido,0.0
"Roberto Lazzeri , Jefe Oficina Secretario Hacienda , señalar llegada empresa tecnología financiero ayuda competencia favor usuario .",frecuencia,unigrama,contenido,0.0
"haber mano obra calificado , costo competitivo infraestructura propiciar nearshoring industria farmacéutico dispositivo médico .",frecuencia,unigrama,contenido,0.0
"subgobernador Jonathan Heath decir ser "" error "" bajar tasa prematuramente haber ganar batalla inflación ; embargo , decir poder haber ajuste .",frecuencia,unigrama,contenido,0.0
"índice precio gasto consumo personal ( PCE ) subir 0.3% mes pasado , informar jueves Oficina Análisis Económico Departamento Comercio .",frecuencia,unigrama,contenido,0.0
"Carlos Marmolejo , director general Sofipo Finsus , decir GameIf buscar educar manera didáctico usuario incentivar ahorro inversión .",frecuencia,unigrama,contenido,0.0
"2024 aprobar techo deuda 1.9 bdp , prever gasto pensión 1500 bdp , 465.000 mdp programa pensión adulto mayor .",frecuencia,unigrama,contenido,0.0
México Evalúa advertir bajo generación recurso público renta petrolero . ingreso total quedar debajo meta 2020 2023 .,frecuencia,unigrama,contenido,0.0
"acuerdo Coneval , último trimestre 2023 , entidad menor porcentaje pobreza laboral ser Baja California Sur , Baja California Jalisco .",frecuencia,unigrama,contenido,0.0
Banco México ( Banxico ) pronosticar PIB México crecer menos esperado 2024 mantener pronóstico 2025 .,frecuencia,unigrama,contenido,0.0
87 Convención Bancaria celebrar Acapulco contar presencia presidente López Obrador tres aspirante presidencia .,frecuencia,unigrama,contenido,0.0
"Producto Interno Bruto aumentar tasa anualizado 3.2% , revisado ligeramente baja ritmo 3.3% .",frecuencia,unigrama,contenido,0.0
disposición aplicar 2 marzo 30 septiembre año ; dinero disponer plaza vacante deber ser devolver ramo Provisiones Salariales Económicas .,frecuencia,unigrama,contenido,0.0
subsecretario Hacienda señalar país no requerir reforma tributario poder solventar desequilibrio fiscal .,frecuencia,unigrama,contenido,0.0
"alianza firma Galileo , Mastercard , , plataforma movilidad ofrecer crédito hasta 15.000 pesos .",frecuencia,unigrama,contenido,0.0
"primero cinco año gobierno , autoridad fiscal haber poner ojo operación internar enviar mercancía extranjero . haber error derivar crédito millonario .",frecuencia,unigrama,contenido,0.0
"guerra arancel acero , Estados Unidos tener perder , declarar Raquel Buenrostro , secretaria Economía .",frecuencia,unigrama,contenido,0.0
titular Economía explicar tema haber diferencia materia energético -electricidad hidrocarburos- México eu quedar resuelto .,frecuencia,unigrama,contenido,0.0
dependencia informar 2.750 sucursal ser construir exclusivamente Secretaría Defensa ( Sedena ) .,frecuencia,unigrama,contenido,0.0
Cetes corto plazo mantener segundo semana consecutivo tasa 11% Cetes dos año bajar nivel más bajo enero .,frecuencia,unigrama,contenido,0.0
"acuerdo Estudio Económico México , recaudación impuesto representar apenas 16.7% producto interno bruto ( PIB ) , mitad promedio país OCDE .",frecuencia,unigrama,contenido,0.0
"banquero haber anunciar retiro Banco Azteca 20 año servicio , ser también juventud clavadista olímpico .",frecuencia,unigrama,contenido,0.0
"primero mes 2024 , venta México extranjero registrar disminución 1.5% tasa anual .",frecuencia,unigrama,contenido,0.0
"no obtener financiamiento manera banca , temporada alto tasa haber repercutir fondeo institución financiero no bancario ( IFNB ) .",frecuencia,unigrama,contenido,0.0
"Secretaría Trabajo Previsión Social ( STPS ) verificar negar derecho libertad asociación negociación colectivo compañía ubicado Uruapan , Michoacán .",frecuencia,unigrama,contenido,0.0
presidente miembro Consejo Administración Banco Azteca presentar renuncia ahora Alejandro Valenzuela ocupar puesto ; banco ser dirigir Francisco Rodríguez .,frecuencia,unigrama,contenido,0.0
banco estar apostar cuenta digital ser límite depósito reto tener adopción masificación .,frecuencia,unigrama,contenido,0.0
"SAT realizar operativo carretera , visita domiciliario estado República empresa sector , entro operativo .",frecuencia,unigrama,contenido,0.0
institución bancario advertir año desaceleración empleo posible recesión economía estadounidense ser causante menor ritmo crecimiento .,frecuencia,unigrama,contenido,0.0
"13ª conferencia ministerial OMC ( MC13 ) , desarrollar jueves Abu Dabi , capital Emiratos Árabes Unidos , ser primero dos año .",frecuencia,unigrama,contenido,0.0
"número persona ser mejor último tres mes año , población ocupado llegar 59.4 millón .",frecuencia,unigrama,contenido,0.0
"compra inversión ser 1.500 millón pesos , quedar 100% mano mexicano , participación 25% Servicio Geológico Mexicano 75% Fideicomiso Fomento Minero .",frecuencia,unigrama,contenido,0.0
"cuota IEPS gasolina Premium Magna ser 5.21 pesos litro , semana 24 febrero 1 marzo .",frecuencia,unigrama,contenido,0.0
"jueza Estados Unidos ordenar empresa israelí dar acceso WhatsApp software , luego haber espiar 1.400 usuario dos semana .",frecuencia,unigrama,contenido,0.0
"acuerdo Comisión Europea , Apple prohíbir desarrollador informar servicio alternativo más barato fuera App Store .",frecuencia,unigrama,contenido,0.0
"Best App , Daily Essentials User’s Choice , ser tres categoría reconocer aplicación música",frecuencia,unigrama,contenido,0.0
"empresa tecnología tener nuevo gerente general país , Pedro Huerta , tener experiencia industria libro , también dispositivo inteligente .",frecuencia,unigrama,contenido,0.0
estudio afirmar ser oportunidad regresar raíz ser empresa “ pequeño ágil ” .,frecuencia,unigrama,contenido,0.0
tecnología Bespoke AI Laundry estar enfocado hacer más eficiente uso detergente agua .,frecuencia,unigrama,contenido,0.0
PlayStation dar conocer juego gratuito llegar PS Plus marzo 2024 . decir ser partir estar disponible .,frecuencia,unigrama,contenido,0.0
"caso no haber notar cambio necesites hacer migración manera manual , explicar hacer él .",frecuencia,unigrama,contenido,0.0
"empresa Cupertino cancelar Proyecto Titán , enfocar desarrollo vehículo eléctrico .",frecuencia,unigrama,contenido,0.0
"Rili.ai ser aplicación permitir usuario tener réplica , ya ser través clon laboral asunto personal .",frecuencia,unigrama,contenido,0.0
compañía asegurar tener capacidad desplegar tecnología generar conexión más rápido recinto concurrido .,frecuencia,unigrama,contenido,0.0
dato 12 millón mexicano ver afectado vulneración portal empleo.gob.mx .,frecuencia,unigrama,contenido,0.0
"lapto ser herramienta uso . embargo , persona tender dejarla conectado tiempo . decir afectar ordenador .",frecuencia,unigrama,contenido,0.0
conocer nuevo estándar ser especialista estar buscar desarrollar impacto mundo tecnología .,frecuencia,unigrama,contenido,0.047836487323493986
tecnológico japonés unir ola despido estar afectar industria videojuego .,frecuencia,unigrama,contenido,0.0
"George Zhao , CEO Honor deviz , explicar importancia México estrategia negocio través Latinoamérica .",frecuencia,unigrama,contenido,0.0
plataforma streaming ahora colocar detrás Netflix preferencia consumo contenido parte mexicano .,frecuencia,unigrama,contenido,0.0
"compañía mostrar   Mobile World Congress aplicativo mejorar foto , lectura mensaje auto descripción imagen base IA .",frecuencia,unigrama,contenido,0.0
"empresa origen chino presentar novedad feria Barcelona , nuevo serie xiaomi 14 , lent Leica .",frecuencia,unigrama,contenido,0.0
"decidir cuenta compartía tus papás amigo , podrás hacer él siguiente paso .",frecuencia,unigrama,contenido,0.0
"gigante tecnológico chino desarrollar IA buscar enfocar servicio industria movilidad , minería , salud clima , contraste Chat GPT ser usuario .",frecuencia,unigrama,contenido,0.0
"función Eye Control teléfono también ser posible encender dispositivo , automóvil eléctrico compatible .",frecuencia,unigrama,contenido,0.0
"empresa , también estar expandeir EU Alemania , tener previsto iniciar producción masa país asiático antes final año .",frecuencia,unigrama,contenido,0.0
lanzar nuevo versión juego publicado hacer 20 año Game Boy Advance . ¿ edición Nintendo Switch lograr desmarcar él crear camino ?,frecuencia,unigrama,contenido,0.0
"ser usuario transporte público metrópoli capitalino , ya podrás recargar tarjeta movilidad aplicación hacer trámite gobierno .",frecuencia,unigrama,contenido,0.0
"dos ejemplo haber crecer audiencia ser Turbulence Burrita Burrona más allá nicho comedia , haber lograr hablar tema tabú red social .",frecuencia,unigrama,contenido,0.0
unidad movilidad eléctrico desplegar hacer poco más año finalidad reducir huella carbono sector .,frecuencia,unigrama,contenido,0.0
colaboración empresa marcar movimiento más importante conseguir objetivo mercado .,frecuencia,unigrama,contenido,0.0
"nivel protección dato , país deber actualizar legislación respecto , datar hacer más 10 año .",frecuencia,unigrama,contenido,0.0
"openai , empresa matriz ChatGPT , no explicar suceder herramienta estrella , además desconocer causa falla .",frecuencia,unigrama,contenido,0.0
"empresa apenas cumplir dos año sector , buscar convertir forma atraer más fanático principal saga .",frecuencia,unigrama,contenido,0.047836487323493986
"ser resumen principal novedad noticia Nintendo Direct : Partner Showcase : juego anunciado mañana , incluir dos Xbox .",frecuencia,unigrama,contenido,0.0
"¿ Facebook , Instagram Twitter ? dirar red social poder perder más usuario basado búsqueda internet usuario .",frecuencia,unigrama,contenido,0.0
"Petróleos Mexicanos ( Pemex ) reportar aumento casi 44 ciento deuda proveedor contratista , ascender 139 mil 115 millón pesos cierre febrero , comparación octubre .",frecuencia,unigrama,contenido,0.0
"inversión construcción , maquinaria bien duradero crecer año pasado nivel precedente , revelar Instituto Nacional Estadística Geografía ( Inegi ) . avance ser 19.7 ciento , impulsado construcción no residencial , incluir obra público . consumo , pilar demanda nacional , también alcanzar nuevo récord , crecer 4.39 ciento año pasado , debido mayor compra bien importado .",frecuencia,unigrama,contenido,0.0
"Brasilia . presidente brasileño , Luiz Inácio Lula Silva , remitir lunes Congreso proyecto ley regular derecho laboral trabajador aplicación transporte pasajero país , incluir exigencia pago salario mínimo .",frecuencia,unigrama,contenido,0.0
"peso mexicano romper lunes piso sicólogo 17 unidad dólar spot . divisa mexicano apreciar estadunidense 0.36 ciento , equivalente 6.13 centavo , cerrar 16.9619 unidad dólar mercado interbancario ( menudeo ) , primero cierre debajo 17 pesos 15 enero .",frecuencia,unigrama,contenido,0.0
"lástima : Ricardo     Salinas Pliego ya no funcionar campaña sucio corifeo mediático incluido nómina ( prestar tipo bajeza ) obtener canonjía y/ quitar él encima obligación legal , suerte , mucho retuerzar , grite chantajee , tener pagar impuesto adeudar hacer alrededor dos década , periodo dos gobierno panista priísta permitir tipo barón – , disgusto topó pared nuevo administración .",frecuencia,unigrama,contenido,0.0
"economía mexicano bajar ritmo crecimiento recta final año pasado tendencia mantener inicio segundo trimestre 2024 , señalar Sistema Indicadores Compuestos : Coincidente Adelantado , calcular Instituto Nacional Estadística Geografía ( Inegi ) . precisar indicador adelantado , sugerir comportamiento economía corto plazo , posicionar arriba tendencia largo plazo , presentar valor 100.2 punto octubre , equivaler caída 0.10 punto respecto septiembre , ser tercer retroceso consecutivo . ritmo caída indicador adelantado empezar acelerar él , prever corto plazo actividad productivo país seguir crecer , tasa menor . no obstante , consecuencia mejora indicador confianza empresarial , momento adecuado invertir tipo cambio , economía mantener ruta crecimiento .",frecuencia,unigrama,contenido,0.0
"San Francisco . , cuatro ex directivo Twitter ( hoy x ) demandar lunes Elon Musk , acusar haberlo despedido “ negligencia grave ” “ falta intencional ” no indemnizar él . documento judicial , querellant reclamar más 128 millón dólares Musk , comprar Twitter 44 mil millón dólares fines 2022 día tomar posesión echar ex presidente Parag Agrawal , director financiero , Ned Segal , director jurídico legal Vijaya Gadde Sean Edgett .",frecuencia,unigrama,contenido,0.0
"brecha género mujer lugar trabajo ser mucho más amplio pensar . cerrar él , señalar Banco Mundial ( BM ) , poder aumentar producto interno bruto global más 20 ciento .",frecuencia,unigrama,contenido,0.0
"industria automotriz México vender 225 mil 357 vehículo ligero mercado interno primero bimestre 2024 , mejor cifra periodo 2017 , comercializar 241 mil 640 unidad dato Instituto Nacional Estadística Geografía ( Inegi ) .",frecuencia,unigrama,contenido,0.0
"Londres . banco central estar cerca controlar inflación mundial , afirmar Banco Pagos Internacionales ( BPI ) . haber motivo “ optimismo prudente ” , más reciente informe trimestral BPI , realizar reunión periódico puerta cerrada principal responsable política monetario mundo . “ banco central haber tomar medida decisivo evitar inflación consolidar – decir prensa Claudio Borio , jefe Departamento Monetario Económico BPI – . “ tiempo , actividad económico haber mostrar notablemente resistente sistema financiero haber aguantar bien ” . BPI haber mostrar vez más esperanzado . finales año pasado , señalar avance inflación haber ser alentador , subrayar banco central no estar fuera peligro .",frecuencia,unigrama,contenido,0.0
"marcado cuesta enero alto tasa interés , saldo cartera vencido préstamo otorgar banco hogar mexicano situar 79 mil 693 millón pesos primero mes 2024 , incremento 21.6 ciento término nominal 16 ciento real respecto 65 mil 553 millón reportado periodo comparable 2023 , mostrar dato Banco México ( BdeM ) .",frecuencia,unigrama,contenido,0.014282799726001057
"Londres . bitcóin alcanzar lunes nivel más alto dos año , superar 65 mil dólares , oleada dinero acercar nivel récord . precio alcanzar máximo sesión 65 mil 537 dólares primero hora mañana Europa , tocar nuevo máximo dos año operación asiático . último cotización ganar 4 ciento , llegar 65 mil 45 dólares . bitcóin marcar récord 68 mil 999.99 dólares noviembre 2021 . mayor criptodivisa valor mercado haber ganar 50 ciento año mayor parte alza haber producir último semana , haber disparar entrada fondo bitcóin cotizado Estados Unidos .",frecuencia,unigrama,contenido,0.0
"Pekín . China fijar meta crecimiento económico alrededor 5 ciento 2024 , similar año pasado línea expectativa analista , informe oficial .",frecuencia,unigrama,contenido,0.0
"luego cerrar año nivel histórico , México comenzar año importar menos fertilizant ; embargo , enero Rusia aumentar más 500 ciento envío abono país , volver ser principal proveedor .",frecuencia,unigrama,contenido,0.0
"uso sistema inteligencia artificial , intento fraude contra cliente Citibanamex , banco mayor presencia país , haber disminuir 70 ciento , dar conocer Rosario Valdivia , directora tecnología institución financiero .",frecuencia,unigrama,contenido,0.0
"China dominar producción     automóvil siguiente década provocar guerra comercial , tecnológico político nivel global .",frecuencia,unigrama,contenido,0.0
"Johan Vásquez ( derecha ) anotar primero gol temporada partido equipo , Génova , perder frente Inter Milán . imagen disputar balón argentino Lautaro Martínez .",frecuencia,unigrama,contenido,0.0
"conflicto Red Bull poder desencadenar partida Max Verstappen , vigente tricampeón Fórmula Uno . situación atravesar director Christian Horner , acusado supuesto “ conducta inapropiado ” empleada , haber generar ambiente intranquilidad alrededor escudería austriaco . victoria Verstappen , segundo lugar Sergio Pérez arranque temporada calmar turbulencia .",frecuencia,unigrama,contenido,0.0
"Pachuca femenil alcanzar ayer subliderato Liga Mx , tiempo Monterrey Chivas golear cierre jornada nueve . pese baja , Tuzas obtener victoria cómodo Puebla ( 2-0 ) . Chinwendu Ihezuo Destinne Manzo anotar hidalguens llegar 20 unidad , punto arriba Monterrey , Sultana Norte , apalear Santos ( 6-0 ) , equipo ya sumar 42 gol contra . estadio Akron , Chivas superar Necaxa ( 4-0 ) juego definir primero 20 minuto tanto Dana Sandoval , Carolina Jaramillo autogol Brissa Range .",frecuencia,unigrama,contenido,0.0
"Englewood . Broncos Denver comunicar Russell Wilson dejar libertad próximo semana , 18 mes firmar mariscal campo ganador Supertazón extensión contrato cinco año 242 millón dólares . potencial destino Wilson ser Pittsburgh , tener programado calendario visita Denver próximo día . salida Russell , franquicia deber absorber golpe 89 millón dólares dinero muerto próximo dos temporada . mando entrenador Sean Payton , Wilson tener temporada buen , no ser suficiente Payton mandar banca lugar Jarrett Stidham dos partido anterior . Broncos cerrar calendario 8-9 , octavo campaña fila llegar playoff . Wilson ser adquirir 2022 proveniente Halcones Marinos Seattle , coronar 2013 .",frecuencia,unigrama,contenido,0.018731716231633878
"París . Colores vibrante sitio emblemático iluminar cartel Juegos Olímpicos París , estilo art déco inspirado pasado extravagante ciudad .",frecuencia,unigrama,contenido,0.0
Randal Willars tener as manga cara presentación Juegos Olímpicos París 2024 : salto mayor grado dificultad realizar mundo .,frecuencia,unigrama,contenido,0.0
"Indian Wells , primero Masters 1000 temporada , ser próximo objetivo Santiago González , subcampeón Abierto Mexicano Tenis .",frecuencia,unigrama,contenido,0.0
"Federación Mexicana Futbol ( FMF ) , regreso ascenso descenso primero división ser tema seguir cerrado . hacer temporada , club Liga Expansión haber salir expresar él contra medida tomado 2020 , máxima autoridad mantener condición abrir competencia deportivo . significar menos cuatro franquicia deber estar certificada temporada 2024-25 , sólo , Atlante , haber poder acreditar requisito .",frecuencia,unigrama,contenido,0.0
"visita América estadio Nemesio Díez terminar pesadilla . poder salvar actual subcampeona goleada 3-0 Toluca , rival dominar notable consistencia ataque sumar tercer triunfo nueve fecha Liga Mx Femenil .",frecuencia,unigrama,contenido,0.0
Madrid . raro astrolabio islámico siglo XI inscripción árabe hebreo origen situar Toledo ser descubrir museo italiano experta Universidad Cambridge .,frecuencia,unigrama,contenido,0.0
"Racismo , pobreza , desaparición lengua desplazamiento ser cuatro factor dificultar presencia indígena ciencia México . panorama complicar todavía más mujer , además discriminación racial deber enfrentar género , considerar investigadora indígena .",frecuencia,unigrama,contenido,0.0
"existir percepción inteligencia artificial ( IA ) poder solucionar problema explotación laboral facilitar vida persona , “ ser tecnología utilizado forma capitalista , más bien usar perfeccionar explotación sobrexplotación clase obrero ” , considerar Jorge Veraza Urtuzuástegui presentación libro Karl Marx , inteligencia artificial gobierno despótico producción ( 200 año nacimiento pensador revolución comunista ) .",frecuencia,unigrama,contenido,0.0
"reconocido barítono galés Bryn Terfel presentar primero vez México Palacio Bellas Artes , parte celebración 90 aniversario recinto cultural , cumplir 29 septiembre .",frecuencia,unigrama,contenido,0.0
"embajada México Suiza recibir lote 24 pieza prehispánica pertenecer patrimonio cultural país , acuerdo dictamen Instituto Nacional Antropología Historia ( INAH ) .",frecuencia,unigrama,contenido,0.0
"gordura ser mayor estigma . ahondar tema perspectiva arte cultura , así social salud , realizar tercero Jornada Supurando Heridas Habitar Estrías , organizado Centro Artes Oficios ( CAO ) Escuelita Emiliano Zapata Pedregal Santo Domingo , activista Fat Alista Museo Universitario Arte Contemporáneo ( MUAC ) .",frecuencia,unigrama,contenido,0.0
